Wlan code;centralized;time between requests (seconds);actions channels;actions cca (dBm);actions tx power (dBm);max_bw;reward;learning mechanism;selected_strategy
NULL;0;1;0;0;0;1;1;1;1
A;1;1;0;-82,-78,-74,-70,-66,-62;5,10,15,20;1;1;1;1
B;1;1;0;-82,-78,-74,-70,-66,-62;5,10,15,20;1;1;1;1
C;1;1;0;-82,-78,-74,-70,-66,-62;5,10,15,20;1;1;1;1
D;1;1;0;-82,-78,-74,-70,-66,-62;5,10,15,20;1;1;1;1
