Wlan code;centralized;time between requests (seconds);actions channels;actions cca (dBm);actions tx power (dBm);max_bw;reward;learning mechanism;selected_strategy
A;0;1;0;-82,-78,-74,-70,-66,-62;5,10,15,20;1;1;1;1
B;0;1;0;-82,-78,-74,-70,-66,-62;5,10,15,20;1;1;1;1
C;0;1;0;-82,-78,-74,-70,-66,-62;5,10,15,20;1;1;1;1
D;0;1;0;-82,-78,-74,-70,-66,-62;5,10,15,20;1;1;1;1
