 KOMONDOR SIMULATION 'sim_11_agents_free' (seed 10);{78.78,74.09,53.46,86.68};{82.48,77.63,68.48,86.52};{83.26,77.63,68.48,86.52};{0.35,0.00,0.06,0.00};{20.32,35.36,49.98,13.74};{1.55,0.90,0.34,0.91};{5.61,5.61,5.59,5.62};{79.63,64.46,36.94,88.15};{5.60,5.60,5.55,5.60};{86.22,86.22,86.22,86.22};{86.37,86.37,86.37,86.37};{0.59,1.15,1.38,0.11};
 KOMONDOR SIMULATION 'sim_12_agents_free' (seed 10);{89.28,73.27,95.94,89.14};{80.11,94.38,83.69,77.62};{80.36,94.38,83.69,77.62};{0.00,0.00,0.03,0.00};{24.48,0.00,19.57,30.79};{2.97,0.49,2.16,1.13};{5.65,5.58,5.65,5.65};{94.33,65.18,96.16,109.07};{5.65,5.56,5.65,5.65};{84.41,84.41,84.41,84.41};{84.69,84.69,84.69,84.69};{0.61,0.11,0.69,0.16};
 KOMONDOR SIMULATION 'sim_13_agents_free' (seed 10);{73.11,75.77,54.44,72.46};{94.05,85.22,49.59,71.16};{94.05,85.22,49.59,71.16};{0.00,0.00,1.28,2.78};{0.00,13.12,64.06,34.95};{1.01,5.14,2.22,4.85};{5.58,5.63,5.65,5.65};{59.44,79.04,67.48,89.10};{5.54,5.63,5.65,5.65};{95.23,95.23,95.23,95.23};{95.23,95.23,95.23,95.23};{0.11,0.59,1.68,0.95};
 KOMONDOR SIMULATION 'sim_14_agents_free' (seed 10);{92.58,69.27,90.76,61.30};{94.23,89.16,92.09,64.69};{94.24,89.16,92.09,64.69};{0.00,0.02,0.00,0.00};{0.55,14.67,7.63,39.27};{0.10,0.63,0.11,10.88};{5.62,5.59,5.62,5.61};{97.01,67.89,92.58,77.21};{5.63,5.56,5.62,5.60};{95.28,95.28,95.28,95.28};{95.28,95.28,95.28,95.28};{0.11,0.12,0.11,0.70};
 KOMONDOR SIMULATION 'sim_15_agents_free' (seed 10);{76.29,92.20,49.96,77.17};{94.79,91.76,52.67,74.12};{94.79,91.76,52.67,74.12};{0.00,0.00,0.00,0.00};{0.00,6.66,65.48,39.60};{0.44,0.07,1.69,0.79};{5.59,5.62,5.62,5.59};{82.66,90.81,58.35,85.73};{5.61,5.62,5.60,5.57};{95.25,95.25,95.25,95.25};{95.25,95.25,95.25,95.25};{0.11,0.21,1.28,0.68};
 KOMONDOR SIMULATION 'sim_16_agents_free' (seed 10);{76.19,102.97,71.89,108.51};{84.91,91.31,69.98,93.70};{84.96,91.31,69.98,93.70};{0.00,0.00,0.01,0.00};{6.11,7.00,47.96,0.27};{7.34,0.61,0.09,0.36};{5.64,5.65,5.63,5.65};{86.24,98.81,76.60,110.35};{5.62,5.64,5.61,5.65};{95.14,95.14,95.14,95.14};{95.14,95.14,95.14,95.14};{0.12,0.41,0.77,0.11};
 KOMONDOR SIMULATION 'sim_17_agents_free' (seed 10);{77.91,91.09,90.35,79.70};{74.08,81.38,84.18,92.66};{74.60,81.38,84.18,92.66};{0.01,0.00,0.00,0.00};{42.27,25.21,18.38,6.60};{0.02,2.47,0.47,0.09};{5.64,5.65,5.60,5.64};{53.81,97.37,88.56,79.17};{5.63,5.65,5.58,5.64};{54.59,54.59,54.59,54.59};{55.58,55.58,55.58,55.58};{1.48,0.68,0.67,0.31};
 KOMONDOR SIMULATION 'sim_18_agents_free' (seed 10);{104.69,91.92,82.20,95.33};{94.99,82.26,94.65,88.58};{94.99,82.26,94.65,88.58};{0.00,0.00,0.00,0.00};{0.00,27.84,0.01,8.14};{0.28,0.42,0.39,2.61};{5.64,5.65,5.63,5.60};{110.35,109.71,82.41,98.46};{5.65,5.65,5.64,5.58};{95.34,95.34,95.34,95.34};{95.34,95.34,95.34,95.34};{0.11,0.14,0.11,0.22};
 KOMONDOR SIMULATION 'sim_19_agents_free' (seed 10);{87.57,71.83,81.61,48.21};{84.21,79.98,82.32,70.57};{84.49,79.98,82.32,70.57};{0.04,0.00,0.00,0.00};{21.63,31.99,19.55,39.47};{0.82,0.17,3.23,2.82};{5.63,5.63,5.62,5.56};{89.34,54.14,85.58,45.39};{5.61,5.61,5.60,5.56};{94.18,94.18,94.18,94.18};{94.21,94.21,94.21,94.21};{0.17,1.34,0.26,1.29};
 KOMONDOR SIMULATION 'sim_20_agents_free' (seed 10);{95.48,81.33,47.45,59.36};{89.04,91.28,73.67,73.57};{89.13,91.28,73.67,73.57};{0.00,0.00,0.00,0.11};{9.54,6.22,42.58,42.27};{1.09,1.27,0.38,0.81};{5.60,5.63,5.55,5.59};{99.21,79.31,45.96,79.14};{5.57,5.64,5.55,5.60};{95.25,95.25,95.25,95.25};{95.25,95.25,95.25,95.25};{0.11,0.11,1.11,0.44};
 KOMONDOR SIMULATION 'sim_21_agents_free' (seed 10);{77.26,97.43,67.49,80.02};{88.53,87.92,77.40,69.44};{88.61,87.92,77.40,69.44};{0.00,0.00,0.79,0.00};{9.19,14.88,35.08,20.50};{3.18,1.03,1.54,19.83};{5.63,5.64,5.64,5.65};{81.12,102.59,76.36,85.29};{5.63,5.65,5.63,5.65};{95.12,95.12,95.12,95.12};{95.12,95.12,95.12,95.12};{0.12,0.44,0.45,0.99};
 KOMONDOR SIMULATION 'sim_22_agents_free' (seed 10);{42.96,49.28,80.16,82.95};{44.91,51.43,75.58,94.40};{47.69,51.43,75.58,94.40};{2.45,2.11,0.00,0.00};{52.30,60.96,33.29,0.62};{25.18,12.73,2.61,0.52};{5.63,5.63,5.59,5.64};{34.02,64.49,80.31,79.34};{5.64,5.65,5.59,5.64};{40.44,40.44,40.44,40.44};{40.84,40.84,40.84,40.84};{3.85,1.47,0.99,0.11};
 KOMONDOR SIMULATION 'sim_23_agents_free' (seed 10);{83.23,81.85,75.21,74.14};{78.49,73.94,94.33,94.83};{78.89,73.94,94.33,94.83};{0.00,0.00,0.00,0.00};{35.23,36.26,0.00,0.00};{0.20,0.75,0.43,0.39};{5.63,5.65,5.59,5.58};{82.41,86.59,59.40,70.93};{5.64,5.60,5.54,5.57};{95.31,95.31,95.31,95.31};{95.31,95.31,95.31,95.31};{0.11,0.22,0.11,0.11};
 KOMONDOR SIMULATION 'sim_24_agents_free' (seed 10);{66.02,98.89,75.38,75.33};{91.00,93.53,89.05,93.88};{91.06,93.53,89.05,93.88};{0.00,0.00,0.00,0.00};{5.75,1.77,10.05,2.10};{1.29,0.74,0.71,0.51};{5.57,5.58,5.60,5.59};{64.49,96.95,74.31,62.28};{5.56,5.57,5.58,5.55};{95.20,95.20,95.20,95.20};{95.20,95.20,95.20,95.20};{0.11,0.24,0.24,0.11};
 KOMONDOR SIMULATION 'sim_25_agents_free' (seed 10);{83.24,93.27,86.13,74.13};{93.81,94.65,89.05,74.56};{93.81,94.65,89.05,74.56};{0.00,0.00,0.40,0.00};{0.35,0.00,11.78,29.73};{0.75,0.54,1.34,7.28};{5.63,5.62,5.62,5.62};{79.30,88.15,98.37,75.04};{5.64,5.60,5.63,5.61};{95.28,95.28,95.28,95.28};{95.28,95.28,95.28,95.28};{0.11,0.11,0.16,0.98};
 KOMONDOR SIMULATION 'sim_26_agents_free' (seed 10);{86.68,81.85,66.64,83.26};{83.93,85.49,64.05,88.47};{85.80,85.49,64.05,88.47};{1.03,0.00,0.00,0.00};{12.82,13.31,42.14,16.63};{3.63,2.42,10.17,0.07};{5.63,5.61,5.58,5.61};{109.07,85.68,64.58,79.34};{5.65,5.60,5.57,5.64};{94.27,94.27,94.27,94.27};{94.30,94.30,94.30,94.30};{0.17,0.27,2.36,0.11};
 KOMONDOR SIMULATION 'sim_27_agents_free' (seed 10);{97.98,70.01,89.46,52.07};{94.08,68.56,83.82,55.18};{94.08,68.56,83.82,55.18};{0.00,0.55,0.00,0.75};{0.03,41.65,25.25,60.30};{1.21,6.28,0.11,3.13};{5.64,5.63,5.64,5.63};{105.19,102.65,93.34,72.25};{5.65,5.65,5.65,5.65};{95.25,95.25,95.25,95.25};{95.25,95.25,95.25,95.25};{0.11,0.44,0.70,1.67};
 KOMONDOR SIMULATION 'sim_28_agents_free' (seed 10);{58.88,90.88,72.31,80.64};{55.96,85.96,84.72,91.34};{56.88,85.96,84.72,91.34};{0.00,0.00,0.00,0.09};{63.47,11.70,19.76,5.77};{0.06,2.01,1.14,0.75};{5.62,5.64,5.63,5.63};{58.31,103.44,74.55,82.32};{5.64,5.65,5.63,5.64};{66.99,66.99,66.99,66.99};{67.69,67.69,67.69,67.69};{1.18,0.23,0.48,0.12};
 KOMONDOR SIMULATION 'sim_29_agents_free' (seed 10);{73.49,88.63,88.39,91.40};{92.93,82.79,93.61,85.52};{92.94,82.79,93.61,85.52};{0.00,0.00,0.00,0.00};{1.40,28.27,3.12,17.64};{0.07,0.07,0.35,1.01};{5.58,5.60,5.62,5.64};{63.28,87.55,79.38,105.83};{5.56,5.62,5.64,5.64};{93.31,93.31,93.31,93.31};{93.36,93.36,93.36,93.36};{0.21,0.80,0.11,0.11};
 KOMONDOR SIMULATION 'sim_30_agents_free' (seed 10);{78.88,92.44,89.89,103.13};{68.37,92.16,80.44,94.47};{68.62,92.16,80.44,94.47};{0.00,0.00,0.06,0.00};{28.45,6.45,26.28,1.58};{12.68,0.15,2.62,0.08};{5.65,5.62,5.65,5.64};{92.22,86.79,104.69,110.28};{5.65,5.60,5.65,5.65};{79.85,79.85,79.85,79.85};{80.02,80.02,80.02,80.02};{1.00,0.19,0.35,0.11};
 KOMONDOR SIMULATION 'sim_31_agents_free' (seed 10);{93.49,70.34,84.92,86.23};{94.49,73.52,94.89,81.76};{94.49,73.52,94.89,81.76};{0.00,0.00,0.00,0.00};{0.00,41.26,0.00,20.47};{0.67,2.48,0.39,3.38};{5.62,5.61,5.63,5.59};{88.15,88.15,79.30,91.01};{5.60,5.60,5.64,5.57};{95.27,95.27,95.27,95.27};{95.27,95.27,95.27,95.27};{0.11,0.11,0.11,0.55};
 KOMONDOR SIMULATION 'sim_32_agents_free' (seed 10);{81.68,82.14,30.58,92.59};{75.11,89.93,32.25,86.99};{75.90,89.93,32.25,86.99};{0.35,0.00,1.63,0.00};{26.69,11.65,75.40,18.09};{7.87,0.11,17.88,0.90};{5.62,5.62,5.63,5.59};{57.87,88.63,50.61,84.30};{5.57,5.64,5.65,5.58};{56.24,56.24,56.24,56.24};{56.90,56.90,56.90,56.90};{1.80,0.11,2.62,0.79};
