 KOMONDOR SIMULATION 'sim_11_agents_obsspd' (seed 10);{58.39,55.45,55.67,55.12};{51.21,47.91,48.12,47.76};{51.21,47.91,48.12,47.76};{0.00,0.00,0.00,0.17};{0.00,0.45,0.39,5.78};{0.11,29.46,0.00,1.56};{5.65,5.65,5.65,5.65};{77.22,35.04,36.82,75.09};{5.65,5.65,5.65,5.65};{67.33,67.33,67.33,67.33};{67.33,67.33,67.33,67.33};{0.69,0.90,0.62,0.81};
 KOMONDOR SIMULATION 'sim_12_agents_obsspd' (seed 10);{69.28,41.85,40.97,69.49};{59.94,36.61,35.40,60.09};{60.00,36.61,35.40,60.09};{0.03,0.00,0.00,0.02};{3.42,0.00,1.83,3.73};{0.07,0.23,1.01,0.04};{5.65,5.65,5.65,5.65};{97.99,15.06,12.15,98.39};{5.65,5.65,5.65,5.65};{85.01,85.01,85.01,85.01};{85.02,85.02,85.02,85.02};{0.21,11.46,16.89,0.20};
 KOMONDOR SIMULATION 'sim_13_agents_obsspd' (seed 10);{56.61,53.66,53.66,57.01};{48.79,46.46,46.59,49.38};{49.01,46.46,46.59,49.38};{0.22,0.04,0.29,0.01};{1.61,5.75,3.12,5.45};{30.35,0.00,18.11,0.00};{5.65,5.65,5.65,5.65};{0.00,110.28,110.35,0.00};{-1000.00,5.65,5.65,-1000.00};{0.11,0.11,0.11,0.11};{0.11,0.11,0.11,0.11};{1.25,0.11,0.11,-nan};
 KOMONDOR SIMULATION 'sim_14_agents_obsspd' (seed 10);{66.46,86.30,23.97,0.41};{73.19,74.56,20.76,0.44};{73.19,74.56,20.76,0.44};{0.00,0.00,0.16,0.00};{0.00,0.00,1.95,0.00};{0.98,0.00,0.07,11.53};{5.62,5.65,5.65,5.62};{85.49,81.47,0.00,0.00};{5.62,5.65,-1000.00,-1000.00};{89.37,89.37,89.37,89.37};{89.37,89.37,89.37,89.37};{0.49,2.14,-nan,-nan};
 KOMONDOR SIMULATION 'sim_15_agents_obsspd' (seed 10);{68.15,42.62,42.29,68.22};{58.86,36.96,36.61,59.06};{58.89,36.96,36.61,59.06};{0.02,0.00,0.14,0.09};{2.61,0.00,1.19,7.53};{1.87,35.05,31.47,0.10};{5.65,5.65,5.65,5.65};{106.91,4.20,3.87,106.63};{5.65,5.64,5.64,5.65};{92.38,92.38,92.38,92.38};{92.38,92.38,92.38,92.38};{0.30,31.81,50.31,0.27};
 KOMONDOR SIMULATION 'sim_16_agents_obsspd' (seed 10);{75.12,35.01,37.49,75.13};{65.01,30.34,32.50,65.05};{65.10,30.34,32.50,65.05};{0.06,0.09,0.00,0.02};{1.82,11.41,0.00,2.50};{20.29,53.72,0.00,0.17};{5.65,5.65,5.65,5.65};{37.40,72.83,73.56,37.33};{5.65,5.65,5.65,5.65};{32.35,32.35,32.35,32.35};{32.35,32.35,32.35,32.35};{0.13,2.13,0.38,0.13};
 KOMONDOR SIMULATION 'sim_17_agents_obsspd' (seed 10);{89.02,22.52,22.93,88.85};{76.94,19.66,19.82,76.86};{76.95,19.66,19.82,76.86};{0.00,0.00,0.00,0.01};{1.26,0.17,0.00,1.21};{0.00,0.16,0.08,0.15};{5.65,5.65,5.65,5.65};{110.35,0.00,0.00,110.28};{5.65,-1000.00,-1000.00,5.65};{95.34,95.34,95.34,95.34};{95.34,95.34,95.34,95.34};{0.11,-nan,-nan,0.11};
 KOMONDOR SIMULATION 'sim_18_agents_obsspd' (seed 10);{40.37,70.23,70.04,40.09};{34.87,60.75,60.59,34.76};{34.91,60.75,60.59,34.76};{0.05,0.01,0.14,0.08};{3.42,1.06,1.13,13.06};{1.36,24.03,19.54,0.22};{5.65,5.65,5.65,5.65};{0.00,110.28,110.28,0.00};{-1000.00,5.65,5.65,-1000.00};{0.00,0.00,0.00,0.00};{0.00,0.00,0.00,0.00};{-nan,0.11,0.11,-nan};
 KOMONDOR SIMULATION 'sim_19_agents_obsspd' (seed 10);{27.95,82.49,82.49,27.90};{24.19,71.32,71.27,24.22};{24.20,71.32,71.27,24.22};{0.02,0.05,0.01,0.23};{1.43,1.60,1.03,9.33};{46.12,7.71,13.84,45.65};{5.65,5.65,5.65,5.65};{54.56,55.37,55.48,54.93};{5.65,5.65,5.65,5.65};{47.13,47.13,47.13,47.13};{47.13,47.13,47.13,47.13};{7.49,0.13,0.13,2.38};
 KOMONDOR SIMULATION 'sim_20_agents_obsspd' (seed 10);{19.88,93.28,95.42,19.93};{17.35,81.13,83.06,17.86};{17.35,81.13,83.06,17.86};{0.00,0.21,0.00,0.00};{0.00,4.17,0.00,0.00};{0.11,0.71,0.15,28.91};{5.65,5.65,5.65,5.65};{0.00,110.28,110.35,0.29};{-1000.00,5.65,5.65,5.60};{0.00,0.00,0.00,0.00};{0.00,0.00,0.00,0.00};{-nan,0.11,0.11,0.15};
